date,location,transect,strata,quadrat_number,slope,total_transect_length_m,transect_location,quadrat_or_core_volume,site_salinity_psu,buoy_SST,buoy_SWH_m,tidal_range (m),pc_can_Fucus,pc_can_Ascophyllum,pc_can_Vertebrata_lanosa,pc_can_Chondrus_crispus,pc_can_Corallina_officinalis,"pc_can_Cladophora_rupestris
",pc_can_Leathesia_difformis,pc_Littorina_obtusata,pc_can_Ulva_intestinalis,pc_und_cyanobacteria,pc_und_Semibalanus_balanoides,pc_und_hildenbrandia,pc_und_unknown_filamentous_green algae,pc_und_cladophora,pc_und_Mytilus_edulis,pc_und_Corallina_officinalis,abun_Littorina_littorea,abun_Gammarus_oceanicus,abun_Nucella_lapillus,abun_Porphyra_umbilicalis,abun_Dyspanopeus_sayi,abun_Acmaea_testudinalis,abun_Littorina_obtusata,abun_Mya_arenaria,abun_Littorina_saxatilis,abun_Nephtys_caeca,abun_Neanthes_virens,abun_Margarites_helcinus,abun_Mytilus_edulis,abun_Corophium_volutator,abun_Siliqua_costata,abun_Yoldria_limatula,abun_Clitellio_spp,abun_Glycera_dibranchiata,abun_Neris_pelagica,abun_chiridotea_spp,abun_clymenella_torquata_spp,abun_Nephtyus_caeca,abun_ Crepidula_fornicata,abun_Cerebratulus_lacteus,abun_Neanthes_virens,abun_Pagurus_longicarpus,abun_Carcinus_maenas,Notes
09-Jul-13,Cranberry Cove,A,h,1,0.0574,31.7,2,,33,16.2,0.487,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09-Jul-13,Cranberry Cove,A,h,2,0.0574,31.7,6,,33,16.2,0.487,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09-Jul-13,Cranberry Cove,A,m,1,0.0574,31.7,12,0.05,33,16.2,0.487,1.4,0.976,0,0,0,0,0,0,0,0,0,0.316,0.532,0,0,0.152,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09-Jul-13,Cranberry Cove,A,m,2,0.0574,31.7,18,0.05,33,16.2,0.487,1.4,1,0,0,0,0,0,0,0,0,0,0.088,0,0,0,0.0244,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09-Jul-13,Cranberry Cove,A,l,1,0.0574,31.7,20,,33,16.2,0.487,1.4,0,0,0,0.7924,0.0231,0,0.0789,0,0,0,0,0.1063,0,0,0,0.181,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09-Jul-13,Cranberry Cove,A,l,2,0.0429,31.7,21,,33,16.2,0.487,1.4,0.064,0.012,0,0.756,0.08,0.00014,0,0,0,0,0,0,0,0,0,0.14165,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09-Jul-13,Cranberry Cove,B,h,1,0.0429,29.7,3,,33,16.2,0.487,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09-Jul-13,Cranberry Cove,B,h,2,0.0429,29.7,5,,33,16.2,0.487,1.4,0,0.908,0.092,0,0,0,0,0,0,0,0.032,0.284,0,0.208,0.032,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09-Jul-13,Cranberry Cove,B,m,1,0.0429,29.7,14,na,33,16.2,0.487,1.4,0.3,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09-Jul-13,Cranberry Cove,B,m,2,0.0429,29.7,17,,33,16.2,0.487,1.4,0,0.864,0.136,0,0,0,0,0,0,0,0.88,0.9,0.048,0.032,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09-Jul-13,Cranberry Cove,B,l,1,0.0429,29.7,6,,33,16.2,0.487,1.4,0.912,0.024,0,0,0,0,0,0,0,0,0.064,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09-Jul-13,Cranberry Cove,B,l,2,0.0429,29.7,2,,33,16.2,0.487,1.4,0.683,0.224,0.0159,0.00399,0,0,0,0,0,0,0.321,0.209,0,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09-Jul-13,Cranberry Cove,C,h,1,0.0429,29,1,,33,16.2,0.487,1.4,0,0,0,0,0,0,0,0.00004916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
